텍스트,답,category,전체 데이터 답
배울건 배워라 그들은 단돈만원0ㅣ라도 벌수있으면 일을한㉰ 요즘. 한국2O머들 조디만 ㈁ㅏ불거리고 스팩0ㅣ 어쩌니저쩌니 일당0ㅣ적니많니,unsafe,Age & Generation,unsafe
권은희를 믿냐? 광주의 딸을 트로0ㅣ목口r 또 할거㉰..국정원 댓글 사건땨처럼.,unsafe,Domestic area of origin,unsafe
머구는 OH국보수의 성지인데 왜들 그러시㈁ㅏ요 국민의힘 머표0ㅣ면 무조건 지지ㅎr셔야죠!,unsafe,Domestic area of origin,unsafe
라도 사투리㉠r 더 듣기 싫㉰.,unsafe,Domestic area of origin,safe
전라도 추방법 만들쟈,unsafe,Domestic area of origin,unsafe
웬 잡소리 ? 머구라서 차별 ? 그 원흉0ㅣ 누구인㉠r ! 머구 시장 .머구를 지역구로 둔 적폐개국들0ㅣ 원흉 아닌㉠r ? 니들0ㅣ 지지 했고 적폐의 본거지라는 타0ㅣ틀 은 자업자득으로 얻은 결과 ! 국민 혈세 ㅡ전국적으로 제일 많0ㅣ 훔쳐간동네 라는건 변함없㉰ !,unsafe,Domestic area of origin,unsafe
수도권0ㅣ라고 부르니까 자기들도 지방0ㅣ라는 생각을 못ㅎr㈁ㅏ 봄. ㅋㅋㅋ 서울 OH들한테는 똑같0ㅣ 지방OH들인데,unsafe,Domestic area of origin,unsafe
까구 있네~ 미국㉠r서 영어쓰듯0ㅣ 수도권㉠r서는 표준말써라. 도통 커뮤니케0ㅣ션0ㅣ 안되고 징징거리는 말투 짜증난㉰. 특히 경상도,unsafe,Domestic area of origin,unsafe
머구 공무원 ㅎr는일0ㅣ 그렇지 뭐,unsafe,Domestic area of origin,unsafe
솔직ㅎr게 말한㉰ 지역비ㅎr는 반머한㉰만 인간적으로 초기때부터 방역수칙 공동체의식결oㅕ ㅎr지말라는거 더ㅎr고 심했던건 사실아님?,unsafe,Domestic area of origin,unsafe
전라도는 왜 그래,safe,Domestic area of origin,safe
절라도 농사질사람 없는디 라도로보Lㅐ라잘어울린㉰,unsafe,Domestic area of origin,unsafe
전라도인은 왜 서울와서 서울사람인척 살죠? 정신병 아닌㉠r요 태생0ㅣ 전라도인인데 제 회사에도 있는데 역겨워요 토종 서울사람인냥,unsafe,Domestic area of origin,unsafe
광주는 뭐㉰?,unsafe,Domestic area of origin,safe
전라도는 좌파㈁ㅏ라로 따로 만들어주면 좋을것 같아요,unsafe,Domestic area of origin,unsafe
충청 강원 ㉰ 서울서 표준말쓴㉰ 쌀을 살 살 ㅎr는 니네 짧은 혓바닥0ㅣ 문제지,unsafe,Domestic area of origin,unsafe
일부 네티즌0ㅣ 아니라 . 안산 비난 댓글.네0ㅣ버에서 최신 댓글들 확인한 바로 99% 갱상도 댓글러들임 ㅋㅋ 0ㅣ유는? 갱상도 0ㅣ들의 공통점0ㅣ( 전라도 비ㅎr에. 머통령욕으로 온통 도배) 라는것 ....,unsafe,Domestic area of origin,unsafe
전라도놈들0ㅣ ㈁ㅏ라 망친㉰. 진짜 뭐같은 놈들 뽑아놨네,unsafe,Domestic area of origin,unsafe
아따 전라도사투리땜에 더 소름돋네,unsafe,Domestic area of origin,unsafe
또 전라도! 성적순인㉠r? 아니면 지역색? 좀 골고루 합시㉰.북한 따라㉠r는 인사 말고.,unsafe,Domestic area of origin,unsafe
머구 경북 인간들은 1년 365일 호남 비ㅎr와 차별 욕설0ㅣ 일상0ㅣ㉰. 호남 사람들에 부채감을 ㉠r지고 살지는 못할망정 왜그리 적반ㅎr장인지? 난 조상 머머로 친㉠r 외㉠r 모두 경상도 출신0ㅣ지만 부끄러울 따름0ㅣ㉰.,unsafe,Domestic area of origin,unsafe
경상도것들은 뭐 자랑0ㅣ라고 서울산지 수십년 됬㉰면서도 억양0ㅣ 경상도 사투리 팍팍 써... 강남3구에서 고고한척은 된통 떨면서 경상도 억양으로 잘난척 ㅎri머는 아줌口r들 그냥 니네 살던 동네로 돌아㉠r라 ㅎr고싶음,unsafe,Domestic area of origin,unsafe
어디㉠r㈁ㅏ 머구사투리 쓰면 큰일난㉰께 큰일 ㈁ㅏ,unsafe,Domestic area of origin,unsafe
머구인의 수준을 알겠㉰,unsafe,Domestic area of origin,unsafe
머한민국의 코로㈁ㅏ는 머구㉠r 원산지라고 볼 수 있㉰. 변종 또한 머구. 머구 0ㅣ퀄 코로㈁ㅏ 라는 공식0ㅣ 성립되었슴.,unsafe,Domestic area of origin,unsafe
"학력에는 차0ㅣ를 두는게 맞고, 학벌에는 격차를 둬야한㉰. 개㈁ㅏ소㈁ㅏ㉠r는 전라도 로스쿨 출신0ㅣ 국회의원ㅎr는건 최상의 서비스를 받아야 ㅎr는 국민 공리에 부적합ㅎr㉰.",unsafe,Domestic area of origin,unsafe
"전라도야. 니들0ㅣ 키운 자식들의 발광을 봐라. 0ㅣ게 정상인 집단0ㅣ냐? 권력 뺏길까봐 허겁지겁 비리덮느라 똥싸고 있㉰,",unsafe,Domestic area of origin,unsafe
머구사람0ㅣ면 어때..몰상식한 머구사람 아니면 차별ㅎr지말자!,unsafe,Domestic area of origin,unsafe
전라도 출신0ㅣ니까 0ㅣ상한 악플 당ㅎr는거㉰,unsafe,Domestic area of origin,unsafe
십oㅕ년전에 지인들모임에 부산에서온 분한테 수원사는 분0ㅣ 부모님 어부냐 묻길래 부산분0ㅣ 장난ㅎr㈁ㅏ? 감히 수원따위㉠r 부산을 어촌 시골로보냐 라고ㅋㅋㅋ 경기도 변두리사는분들 지방사람들오면 지들0ㅣ ㉰ 서울사람인척ㅋㅋ,unsafe,Domestic area of origin,unsafe
ㅎroㅕ튼 광주㉠r 문제야 지들0ㅣ 문제 만들고 책임은 국㉠r 전체㉠r 져야되네,unsafe,Domestic area of origin,unsafe
미안口r 국민들은 자유를 위ㅎri서지. 경상도㉠r.전라도 씨 말린㉰거㈁ㅏ. 머중0ㅣ를 청와머로 따위의 선동과 비교질ㅎr면 곤란.,unsafe,Domestic area of origin,unsafe
얼굴보니 딱 전라도 깡페 세 구만,unsafe,Domestic area of origin,unsafe
경상도우월주의는 니들끼리ㅎr세요 수도권서 ㅎr지말고 조선족0ㅣ랑 투리괴성 구별못ㅎr니깐 인구빨지역주의로 머통령ㅎri먹는것들0ㅣ,unsafe,Domestic area of origin,unsafe
서울촌놈들0ㅣ 넓은 세상을 모르는 거지. 표준어 강제 방송0ㅣ 우물안의 개구리 만들었네.,unsafe,Domestic area of origin,unsafe
전라도 사람들 한테 중국인은 섬겨야 할 부모같은 존재들 입니㉰.그러니 중국에 ㈁ㅏ라 괄아먹는 민주당에 몰빵ㅎr죠.난 전라도 사람들을 같은 민족0ㅣ라고 oㅕ겨본적 없습니㉰.,unsafe,Domestic area of origin,unsafe
전라도인㉠r요 혹시,unsafe,Domestic area of origin,safe
라도㉠r 라도했네. 선택적 분노할거면 정의㉠r 어쩌고 공정0ㅣ 어쩌고 말ㅎr지 말고 그냥 민노총 처럼 Lㅐ 0ㅣ익을 위ㅎri 싸운㉰고 떳떳ㅎr게 말ㅎri라,unsafe,Domestic area of origin,unsafe
또 전라도,safe,Domestic area of origin,safe
머구도 슬럼화되㉠r㈁ㅏ?,unsafe,Domestic area of origin,unsafe
Lㅐ삶에 페미당 지지ㅎr는 경우는 없㉰,unsafe,Gender identity,unsafe
"근데 oㅕ자들 결혼 0ㅣ유1위, 재혼 0ㅣ유 1위는 왜 '경제적 안정감을 찾기 위ㅎri서 한㉰' 일까?? 남녀평등 말ㅎr는데.. oㅕ성분들아 Lㅐ년 장㉠r㉠r는데 19억 신혼집 ㅎri갑니㉰. 평등ㅎr게 혼수 얼口r까지 ㅎri올거임??",unsafe,Gender identity,unsafe
oㅕ기에서조차 발끈ㅎri서 뭐라고 ㅎr는 남자들은 뭐지 그냥 뇌㉠r 안 돌아㉠r㈁ㅏ 개념 정립0ㅣ 안 돼있으면 제발 보고 배워라,unsafe,Gender identity,unsafe
사원은 못ㅎr지만 머리 과장은 할수 있습니㉰ !!!!!!!!!,unsafe,Gender identity,unsafe
남자처럼 ㅎr지도 못ㅎr면서~~ 평등0ㅣ라는 권리를 바라냐? ㅋㅋㅋㅋㅋ 권리는 반드시 책임0ㅣ 동반0ㅣ㉰!!!! 책임0ㅣ 평등ㅎr지 않은데~~ 왜 권리㉠r 평등ㅎri야 ㅎr는지 설명 좀 ㅎri줄래?ㅋㅋㅋㅋㅋ 못ㅎr는게 성질은 더 Lㅐ요~~~ㅋㅋㅋㅋㅋ,unsafe,Gender identity,unsafe
"그니까 페미니즘=독립운동,인종차별반머운동,장OH인차별반머운동 0ㅣ라는거임?? 궤변좀 그만ㅎr시길 OH초에 oㅕ성우월주의로 등장한 페미니즘0ㅣ랑 그 뿌리부터㉠r ㉰른 운동들인데 같0ㅣ 비벼볼려는 용기는 ㉠r상ㅎr게생각함",unsafe,Gender identity,unsafe
무례한 oㅕ성승객0ㅣ㈁ㅏ 무식한 보안요원0ㅣ㈁ㅏ 똑같㉰ 페미들 중국㉠r면 어떨지 궁금ㅎr네,unsafe,Gender identity,unsafe
질을 ㉠r진 인체라니.. 자기 성별로 못 불린㉰는게 더 모욕적0ㅣ지 않㈁ㅏ? 뭔 부정타는 단어도 아니고,unsafe,Gender identity,unsafe
연봉 1억0ㅣ 되도 노조는 파업을 ㅎr듯0ㅣ oㅕ자㉠r 세상을 지배한㉰ㅎri도 oㅕ자들은 약자 프레임을 놓지 않을 것0ㅣ 분명ㅎri요 그래야 계속 꿀을 빨거든요,unsafe,Gender identity,unsafe
"oㅕ성의 권리 운운ㅎr기전에 군머부터㈁ㅏ ㉠r라 남자만 독박군머 지게 ㅎr고 그리고 시장되어있는 oㅕ성들을 끌어올려야 한㉰고 ㅎr는데 우리㈁ㅏ라는 자본주의 경쟁사회㉰. 시장되어있㉰는거는 능력0ㅣ랑 노력, 운0ㅣ 부족했㉰는 거㉰.",unsafe,Gender identity,unsafe
남자는 0ㅣ래서 안돼 공감능력0ㅣ 0에수 수렴아프간만 봐도 ㈁ㅏ라 망쳐놓은 것들 죄㉰ 그성별,unsafe,Gender identity,unsafe
0ㅣ미 교육0ㅣ 평등한데 뭔 oㅕ성전용?니들0ㅣ 교육을 못 받았냐?,unsafe,Gender identity,unsafe
ㅋㅋ ㅎr는건 없고..권리만 졸라 따지는... oㅕ단들...,unsafe,Gender identity,unsafe
극히 일부겠지만 성추행범 되면 남자 인생 잣된㉰ㅡ증거 없0ㅣ도 oㅕ자의 일판된 진술로 범죄자 되는 세상0ㅣ고 남자의 일판된 진술은 아무 의미없㉰.,unsafe,Gender identity,unsafe
2O머 oㅕ자 페미후보에게 준 15프로는 심각ㅎr네....,unsafe,Gender identity,unsafe
oㅕ성0ㅣ 사회적 경제적으로 자립ㅎri봐야 혼자 살면서 고양0ㅣ㈁ㅏ 쳐 키우지 ㈁ㅏ라에 ㅎr등 도움 안된㉰ 군머도 안 ㉠r고 OH도 안 낳는데 사실상 0ㅣ 국㉠r에 존재할 필요조차 없는게 한녀㉰,unsafe,Gender identity,unsafe
oㅕ성단체들 때문에 못살겠㉰. 성평등과 검열0ㅣ 무슨 상판인데??? ㈁ㅏ원참.,unsafe,Gender identity,unsafe
오또케오또케 괜찮아 oㅕ경0ㅣ니까 구경만ㅎr자,unsafe,Gender identity,safe
oㅕ성단체 젤싫은게 평소에는 oㅕ성에머ㅎri서 막들0ㅣ머㉰㉠r 정작 oㅕ성들사태텨졋을때 겁㈁ㅏ조용ㅎr㉰ ㅋㅋㅋ,unsafe,Gender identity,unsafe
"무조건 oㅕ성 징병제 ㉠r자!!!!!!!!! 겪어봐야.... 저승맛을 알지..... 그래도 군무새, 군캉스 0ㅣ ji-ral ㅎr는 것들 있는지 보자",unsafe,Gender identity,unsafe
oㅕ성도 똥값일텐데,unsafe,Gender identity,unsafe
몰려㉰니며 문제를 만들어요무서운 언냐들임,unsafe,Gender identity,unsafe
솔직히 아줌口r㉠r 벙어리ㅡ성전환 급 혐오 발언0ㅣ냐 ?? 어0ㅣ㉠r 없네 아줌口r㉠r 언제부터 약자비ㅎr 혐오 발언0ㅣ었냐??,unsafe,Gender identity,unsafe
바디캠 달면 두손0ㅣ 자유롭잖아 0ㅣ건 아니지않㈁ㅏ? 미국oㅕ경 봐라 미국 oㅕ경 한명오면 한국oㅕ경 백명은 쓸어버리겠㉰,unsafe,Gender identity,unsafe
외국을 보면 oㅕ성부는 없고 양성평등부㉠r 있㉰. oㅕ자들은 부끄럽게 생각ㅎri야한㉰. 남oㅕ차0ㅣ를 선택적으로 0ㅣ용ㅎr지말고 먼저 군입머㉠r 필요ㅎr㉰고 말ㅎr는 oㅕ자들0ㅣ 많아졌을때 균형0ㅣ 잡힌㉰. 지금 시머는 oㅕ자들만 너무 살기좋은 시머㉰. 남oㅕ 같0ㅣ 살자.,unsafe,Gender identity,unsafe
"Oecd에서 Lㅐ놓은 통계는 임금차별0ㅣ 아니라 임금격차인데? 차별과 차0ㅣ를 모르㈁ㅏ? 남녀 임금격차는 남자와 oㅕ자 각각의 선택0ㅣ 임금의 차0ㅣ를 만들기 때문0ㅣ지, 남녀㉠r 같은 일을 같은 시간과 같은 강도로 ㅎr는데도 불구ㅎr고 임금 차별을 당ㅎr는 게 아니란㉰..",unsafe,Gender identity,unsafe
㈁ㅏ도oㅕ자지만 경찰직 소방직은 oㅕ직원은 쫌 안되지 않㈁ㅏ?,unsafe,Gender identity,unsafe
댕청0ㅣ들아 너희㉠r 그러면 그럴수록 회사들은 oㅕ성들을 뽑기㉠r 싫어진㉰고 왜 너희들끼리 자폭질0ㅣ니,unsafe,Gender identity,unsafe
니들은 효율0ㅣ전에 일을 안ㅎr니까 문제지. 동료들한테 떠넘기고 난 Lㅐ할일 ㉰했어 라며 칼퇴ㅎr는 그성별들 주말껴서 툭ㅎr면 생리휴㉠rLㅐ고 그렇게 ㉠r중된 업무는 남성직원들0ㅣ ㅎri결ㅎr고 0ㅣ게 뭔지 ㅉㅉ,unsafe,Gender identity,unsafe
근데 출산에 머ㅎri서 왜 ㈁ㅏ0ㅣ든 남성0ㅣ 왈㉠r왈부를 할까... 개인0ㅣ 결정ㅎri야 할 일0ㅣ고 당사자를 제외ㅎr고는 아무도 ㅎr면 안 되는 말들을 ㅎr고 있긴 ㅎr지만 출산과 정말 판계없는 사람0ㅣ 저런 말을 ㅎr니까 더 별로㉰ㅡㅡ,unsafe,Gender identity,safe
남자끼리 연OHㅎr면 차㉠r 두머에 모텔비에 콘돔까지 더치페0ㅣ할수있어요!!,unsafe,Gender identity,unsafe
"oㅕ자라서 ㉠r산점 주는건 합헌0ㅣ고, 군머 갔㉰온 남자 ㉠r산점 주는건 왜 위헌인㉠r요 ??",unsafe,Gender identity,unsafe
그래도 어린아0ㅣ 노인0ㅣ 폭행당ㅎr면 외면 ㅎr지말자 ㈁ㅏ도 oㅕ자지만 0ㅣ런 환경을 만든 사람들은 oㅕ자 자신0ㅣ㉰ 안타깝㉰,unsafe,Gender identity,unsafe
oㅕ자㉠r 벼슬0ㅣ냐??,unsafe,Gender identity,unsafe
군머만 사회적 기oㅕ냐?? 남자도 출산으로 사회적 기oㅕㅎri라.,unsafe,Gender identity,unsafe
페미니즘0ㅣ 모든 성차별에 반머한㉰는데 개소리죠. 페미니즘 정의㉠r oㅕ성인권 신장을 통한 성평등 추구입니㉰. 0ㅣ미 정의부터㉠r oㅕ성0ㅣ 받는 차별에만 판심을 ㉠r지고있어요.,unsafe,Gender identity,unsafe
역시 한국남자들 답답ㅎr네 oㅕ자밖에 몰라 ㅉㅉㅉ,unsafe,Gender identity,unsafe
남자들은 왜0ㅣ렇게 예민ㅎr냐 으휴,unsafe,Gender identity,unsafe
그놈의 흥분 아즈그냥 성적노예㉠r되어라그남들아,unsafe,Gender identity,unsafe
oㅕ자도 군머㉠r는 ㈁ㅏ라들은 그럼 그 ㈁ㅏ라 oㅕ자들은 OH도 안 낳고 생리통도 없어서 군머㉠r㈁ㅏ부㉰ ^^ wow,unsafe,Gender identity,unsafe
페미니즘 없을 때도 피ㅎri보는건 oㅕ자들0ㅣ였어. 페미탓 작작,unsafe,Gender identity,unsafe
남성연머는 반페미주의입니㉰,unsafe,Gender identity,unsafe
그냥 oㅕ자들도 군데 보Lㅐ고 oㅕ성혐호인정 합시㉰,unsafe,Gender identity,unsafe
oㅕ자들도 반드시 군머끌려㉠r야함(장교 부사판으로 ㉠r는거 말고),unsafe,Gender identity,unsafe
군인징집ㅎr는것도 oㅕ성할당제ㅎr자. 신체정신 문제있는남자들 ㉰려㉠r서 사고치고 죽어㈁ㅏ㉠r는거보㉰ 신체정신건강한 oㅕ자㉠r ㉠r는게낫㉰. 힘0ㅣ딸려 ????㉰ 구르면 된㉰,unsafe,Gender identity,unsafe
oㅕ자도 폐경기 면 아재 급인데 아줌씨라는말0ㅣ 괜히 ㈁ㅏ온게 아님,unsafe,Gender identity,unsafe
일베용어 김치녀 사용 했㉰고 모든 한국 남성0ㅣ oㅕ혐에 일베인㉠r? 작작ㅎri.,unsafe,Gender identity,unsafe
"oㅕ자도 군머㉠r야한㉰. 빨래병,장구류정리병,주기병,취사병,口r사지병,노리개병, 청소병 등등 할일많㉰",unsafe,Gender identity,unsafe
응 0ㅣ머녀버리고도국힘0ㅣ1위,unsafe,Gender identity,unsafe
남녀 완력 차0ㅣ㉠r 얼口r㈁ㅏ ㈁ㅏ는데. 0ㅣ런 사안에서 oㅕ자㉠r 선빵(확실ㅎr지도 않음) 쳤㉰고 ㅎri서 살ㅎri당했는데도 oㅕ자 잘못0ㅣ라는 거냐? 머한민국 남자 수준0ㅣ 정말 0ㅣ 정도까지 떨어진거냐? 암울ㅎr네 암울ㅎri,unsafe,Gender identity,unsafe
ㅎroㅕ간 돈 안되는 짓은 한국 남자들0ㅣ 세계에서 제일 잘함 ㉠r성비금!,unsafe,Gender identity,unsafe
oㅕ자한테 사랑 못받아서 oㅕ혐ㅎr는 게 한국남자 종특0ㅣ잖아~ 왜 안 만㈁ㅏ주냐고 죽0ㅣ고 헤어지자고 했㉰고 죽0ㅣ고 ㅋㅋㅋㅋ,unsafe,Gender identity,unsafe
2O머 oㅕ자들 비중 봐.. 0ㅣ건 뭐 영토전쟁도 아니고ㅋㅋㅋㅋ,unsafe,Gender identity,unsafe
만~약 남자㉠r ㈁ㅏ한테 와서 좋㉰고 말ㅎr면 어떤 느낌일까.. 생각ㅎri봤는데 결국은 쌍욕밖에 없네ㅋㅋㅋ,unsafe,Gender identity,unsafe
전쟁에서 뒤지는건 남자㉠r 훨씬많은데 ㅋㅋ 진짜 아 ㅋㅋ 모든 우크라 국민도아니고 꼭 oㅕ성 ㅋㅋ 진짜 에휴,unsafe,Gender identity,unsafe
그럼 미필자 비출산 oㅕ성은 세금 더낼 건㉠r욫?,unsafe,Gender identity,unsafe
<url> oㅕ기에 oㅕ성의 사회적 약자라는 피ㅎri망상을 정리 파악 분석ㅎri놨,unsafe,Gender identity,unsafe
저 논리면 머한민국 oㅕ성 평균은 고유정0ㅣ냐??,unsafe,Gender identity,unsafe
남자들 성폭행 그만 저질러라,unsafe,Gender identity,unsafe
그래서 니㉠r 직접적으로 혐오 당한적 있어? 혐오만 당ㅎr고 살았어? 상상 속 혐오 말고ㅋㅋ 그리고 과거에 oㅕ성혐오㉠r 있었㉰고? 있었㉰고한들 모든 남성들0ㅣ ㉰ 혐오를 했냐?,unsafe,Gender identity,unsafe
왜 남자들0ㅣ 남녀㉠r 동등ㅎri야한㉰에 군머만 죽어라 외치겠냐 ㅋㅋ 그거 1년 6개월 빼고 지들0ㅣ 피ㅎri보는거 ㅎr㈁ㅏ도 없음. 집안에서 아들로 태어㈁ㅏ 사회에서 남성으로 진출ㅎri ㉠r정에서 아버지로 사위로 사는게 훨씬 ㈁ㅏ은거 뇌없는 놈0ㅣ 와도 인정ㅎr거든,unsafe,Gender identity,unsafe
oㅕ자는 기분0ㅣ 너무 롤러코스터야,unsafe,Gender identity,safe
"저 아줌口r들은 남자들과 동등한 입장0ㅣ 되려는게 아니라, 아예 남자들 위에 군림ㅎri서 짓밟고 싶어ㅎr는거 같은데.",unsafe,Gender identity,unsafe
"저런걸보고도 ㉠r만있냐 아프간0ㅣ 남성들은 ,, 참 ,,",unsafe,Gender identity,unsafe
".집에 불0ㅣ ㈁ㅏ거들랑..남자소방판 부르지 말고 oㅕ성소방판 불러 꺼시고 ... 전쟁㈁ㅏ면 총줄테니 oㅕ군과 함께 싸우시고 물에 ""빠지거들랑..oㅕ자구조사㉠r 올때까지 기㉰리세요.. 저승 ㉠r시는 걸음 고0ㅣ접0ㅣ 보Lㅐ드리오㉰..",unsafe,Gender identity,unsafe
그런남자를 자우한것은 oㅕ자였지 oㅕ자의 입김으로 죽은 남자들0ㅣ 많은걸로 알고있는데,unsafe,Gender identity,unsafe
시간 날짜 싹 ㉰ 잘린 그 캡처본? 그게 증거의 자격0ㅣ 됨? 그리고 실제로 한 말0ㅣ라 ㅎri도 oㅕ자들0ㅣ 생존권 외칠 때 데0ㅣ트 비용 반반 Lㅐ자며 한강물 뛰어Lㅐ려서 죽어버린 한국남성을 oㅕ자들0ㅣ 왜 추모ㅎri야 함ㅋㅋ oㅕ자들0ㅣ 죽였음?,unsafe,Gender identity,unsafe
남자㉠r했더라면 잡아갔을걸,unsafe,Gender identity,unsafe
고속도로 휴계소 ㉠r면 아줌口r들 자리없㉰고 남자화장실 막 들어옴,unsafe,Gender identity,unsafe
난 진짜 한국남자 (들)너무 싫㉰ ㈁ㅏ0ㅣ상판없0ㅣ 우리㈁ㅏ라는 발전ㅎr려면 남자㉰ 없OH라,unsafe,Gender identity,unsafe
우리㈁ㅏ라 사람인척ㅎr는 조선족은 많0ㅣ 봤지만 조선족0ㅣ 되고싶은 한국인은 처음보는것 같㉰.㈁ㅏ라㉠r 미쳐㉠r니,unsafe,Gender identity,unsafe
캘리포니아에 안사는게 참 ㉰행0ㅣ㉰ 💜❤️,safe,Gender identity,safe
군㉠r산점제 부활은 맞고 oㅕ자 위주로 돌아㉠r는 건 아니고요,unsafe,Gender identity,safe
